GeneSymb	GSM275676	GSM275677	GSM275678	GSM275679	GSM275680	GSM275681	GSM275682	GSM275683	GSM275684	GSM275685	GSM275686	GSM402417	GSM402418	GSM402419	GSM402420	GSM402421	GSM402422	GSM468593	GSM468594	GSM468595	GSM468596	GSM468597	GSM468598	GSM468599	GSM468600	GSM468601	GSM468602	GSM490043	GSM490044	GSM490045	GSM649496	GSM649497	GSM649498	GSM1230054_284_4795_04_03_2012.CEL	GSM1230055_284_4796_04_03_2012.CEL	GSM1230056_284_4797_04_03_2012.CEL
AANAT	 4.5013	 4.3079	 4.5108	 4.4955	 4.9137	 4.6427	 4.5611	 4.4524	 4.5532	 4.4855	 4.5688	 4.1429	 4.7152	 4.1938	 4.7112	 4.2111	 5.1960	 4.4069	 4.4337	 4.2931	 4.7650	 4.8508	 4.6778	 4.3584	 4.6338	 4.5785	 4.2858	 4.2092	 4.5311	 4.6640	 4.5914	 4.8727	 4.3020	 4.7228	 4.2974	 4.3840
AARS	11.2776	11.1431	10.9836	10.6965	10.8097	10.7214	10.6135	10.2081	10.2564	10.2898	10.3460	10.9460	10.8689	11.1890	10.4260	10.4079	10.4691	10.7225	10.8944	10.8063	10.5461	10.7421	10.6117	10.7057	10.7097	10.7746	10.6654	10.9088	10.9291	10.8662	10.5453	10.5414	10.5162	10.8547	10.9198	10.9295
AARS2	 7.2428	 6.9997	 7.0675	 6.9726	 7.5684	 7.4279	 7.6709	 7.6667	 7.7476	 7.6682	 7.6099	 7.2906	 7.1948	 7.4039	 7.5911	 7.4496	 7.4215	 7.5546	 7.2461	 7.5879	 7.4931	 7.3246	 7.1954	 7.3334	 7.4922	 7.4085	 7.2832	 7.2518	 7.2841	 7.3086	 7.3883	 7.4334	 7.6852	 7.3864	 7.2874	 7.1708
ABAT	 7.9284	 8.3009	 7.5376	 7.3565	 9.0113	 9.0016	 9.0223	 8.9498	 9.1174	 9.1869	 9.0459	 8.4106	 8.3014	 8.1984	 8.7251	 8.6536	 8.4348	 7.9068	 7.9529	 7.8642	 7.8570	 7.9741	 8.9487	 9.0097	 8.9627	 9.0233	 9.0402	 7.9204	 7.9980	 7.9788	 9.0604	 8.8752	 8.8910	 7.7928	 8.1234	 7.9811
ABCA1	 4.7710	 4.7215	 5.0577	 4.7801	 4.7807	 4.8087	 4.8004	 5.0219	 4.8126	 4.9044	 5.0157	 4.4224	 4.5174	 4.5256	 5.4234	 5.0935	 5.0246	 4.7819	 4.7165	 4.8424	 4.9902	 4.7060	 5.0028	 5.0121	 4.8993	 4.6146	 4.7789	 4.7001	 4.7328	 4.7753	 4.9938	 4.8133	 4.9916	 4.7443	 4.6157	 4.8482
ABCA11P	 5.2167	 5.6940	 5.3291	 6.5220	 6.2437	 6.1494	 6.0278	 6.2651	 6.2664	 6.2574	 6.4748	 6.2784	 6.1588	 6.5169	 5.7942	 5.7281	 5.8045	 6.3218	 6.3710	 5.9673	 6.1579	 6.3030	 6.1299	 5.5918	 5.9766	 5.8007	 5.8481	 6.2283	 5.8889	 6.0920	 6.5737	 5.6192	 5.8789	 5.9806	 6.1983	 6.0302
ABCA12	 6.8804	 6.6447	 5.4972	 5.4558	 8.8194	 8.4431	 8.6799	 5.3636	 5.5357	 5.4903	 5.6298	 7.7335	 7.4740	 7.3613	 5.7559	 6.0105	 5.3336	 6.1483	 6.8804	 6.5794	 6.6353	 7.1935	 6.3581	 6.5404	 6.5420	 6.6225	 6.6149	 6.7232	 6.8422	 6.5555	 6.7646	 6.5943	 6.1890	 6.4087	 6.8889	 6.8233
ABCA13	 3.1006	 3.1037	 3.2770	 3.1609	 3.1816	 3.1950	 3.2344	 3.1726	 3.2242	 3.1615	 3.1705	 3.4238	 3.1604	 3.4737	 3.1110	 3.0006	 2.9443	 2.9541	 3.2796	 3.0258	 2.9559	 3.5521	 3.2063	 3.2769	 3.2375	 3.2817	 3.0864	 3.2163	 3.1852	 3.2153	 3.1724	 3.1739	 3.1506	 3.2620	 3.2682	 3.0867
ABCA17P	 5.9039	 5.6915	 5.2373	 5.5353	 6.2141	 6.0914	 6.3615	 5.6293	 5.4556	 5.8236	 5.9098	 5.8242	 6.0917	 5.0574	 5.8882	 5.6326	 6.0138	 5.8662	 5.1302	 5.5425	 5.3016	 5.4794	 5.8528	 5.9878	 6.2156	 5.9868	 6.1504	 5.6987	 5.3551	 5.6114	 5.9157	 6.2406	 5.6864	 5.8049	 5.3940	 5.4664
ABCA2	 7.1023	 7.0159	 7.0645	 6.9694	 6.3434	 6.2868	 6.3238	 6.9280	 6.8144	 6.7005	 6.6174	 6.9329	 7.1362	 6.6641	 6.7427	 6.7507	 6.6210	 7.0685	 7.2800	 7.0138	 7.1981	 7.1320	 6.3929	 6.5174	 6.2623	 6.5725	 6.6418	 6.9751	 7.1106	 7.0588	 6.7586	 6.5267	 6.4178	 6.9663	 7.0962	 7.0819
ABCA3	 7.8830	 7.8690	 7.8234	 7.6086	 8.4667	 8.2481	 8.2675	 8.1560	 8.2996	 7.7456	 7.9487	 8.0747	 8.5914	 7.9142	 7.8457	 8.0252	 7.7478	 8.2175	 8.1545	 8.1399	 8.1089	 8.2066	 7.9445	 7.9701	 7.7732	 7.8819	 7.9342	 7.9692	 8.0695	 8.1092	 7.9316	 8.2580	 7.8613	 8.1575	 8.0637	 7.9267
ABCA4	 5.5185	 5.4780	 5.5508	 5.5074	 5.9034	 5.9094	 5.7598	 5.8336	 5.4740	 5.5391	 5.6396	 5.3652	 5.6175	 5.6233	 5.8547	 5.5720	 5.7895	 5.5525	 5.7347	 5.8996	 5.8305	 5.5418	 5.6886	 5.4590	 5.5669	 5.7329	 5.3638	 5.6671	 5.7134	 5.4244	 5.7289	 5.6636	 5.6247	 5.6332	 5.7000	 5.4717
ABCA5	 7.5109	 7.0252	 6.6836	 6.1146	 4.9200	 4.4133	 5.1837	 6.1313	 6.4933	 6.1030	 5.6745	 6.0878	 6.4289	 6.4349	 6.0858	 6.1455	 5.4422	 6.1733	 5.9549	 5.9631	 6.2317	 6.2110	 5.9445	 6.3641	 6.2648	 5.9287	 6.0056	 6.3493	 6.3604	 6.4952	 5.8490	 5.8850	 5.6861	 6.4276	 6.3059	 6.4714
ABCA6	 4.1482	 4.1150	 4.3433	 4.4050	 4.1175	 4.2013	 4.1932	 4.4517	 4.2098	 4.3112	 4.6452	 4.1529	 4.3954	 4.5115	 4.5076	 4.1630	 4.0048	 4.0892	 4.5100	 4.1827	 4.3666	 4.4104	 4.0095	 4.2768	 4.5337	 4.5847	 3.9285	 4.2925	 4.4416	 4.1735	 3.9613	 4.0131	 4.8533	 4.2691	 4.4877	 4.1507
ABCA7	 6.0733	 6.2426	 6.2093	 6.0579	 6.5165	 6.2326	 6.3541	 6.5356	 6.9498	 6.5137	 6.4074	 6.2665	 6.2914	 6.3900	 6.1279	 6.4223	 6.5859	 6.1961	 6.4066	 6.0592	 6.3792	 6.5082	 6.2735	 6.2379	 6.5703	 6.3902	 6.4524	 6.3161	 6.1126	 6.3413	 6.4981	 6.7469	 6.0690	 6.1676	 6.2621	 6.3404
ABCB9	 6.3849	 6.2322	 6.5511	 6.7539	 6.3799	 6.4845	 6.3336	 6.6259	 6.6856	 6.5594	 6.7628	 6.5847	 6.5411	 6.5944	 6.4581	 6.5432	 6.4155	 6.5222	 6.4937	 6.5881	 6.3475	 6.6689	 6.3486	 6.5016	 6.5546	 6.6669	 6.5363	 6.5630	 6.5479	 6.4547	 6.5851	 6.3724	 6.6139	 6.4044	 6.5205	 6.6408
ABCC1	 8.4205	 8.2633	 8.0085	 7.9189	 7.1981	 7.1581	 7.2442	 8.2186	 8.2661	 8.1244	 7.9550	 8.2812	 8.2773	 8.1862	 7.7381	 7.9008	 7.2082	 7.9327	 7.8012	 8.1634	 7.8664	 7.9683	 7.9099	 7.9953	 8.0284	 7.6300	 8.0241	 8.0934	 8.0846	 8.0940	 7.8941	 7.7926	 7.6331	 8.1944	 8.0190	 8.0586
ABCC10	 7.9527	 7.7428	 7.6514	 7.3367	 8.3453	 8.3710	 8.4620	 7.7729	 8.1614	 7.9418	 7.7709	 7.9550	 8.1140	 7.9134	 8.0721	 7.9674	 7.5995	 7.9263	 7.8783	 7.9600	 7.9570	 8.0439	 7.8147	 8.0023	 7.9916	 7.7939	 8.0011	 7.8878	 7.7536	 7.9664	 8.1093	 8.0792	 7.8251	 7.9010	 7.9522	 7.7547
ABCC11	 5.2164	 5.4144	 5.4520	 5.4615	 5.1882	 5.2173	 5.1908	 5.3257	 4.9613	 5.2843	 5.3132	 5.0452	 5.2275	 5.2902	 5.2483	 5.3551	 5.5275	 5.2063	 5.0754	 5.5737	 5.3418	 5.4043	 5.2895	 5.5256	 5.0868	 5.1630	 5.1569	 5.2843	 5.3593	 5.2837	 5.5272	 5.0571	 5.1824	 5.2937	 5.2711	 5.3624
ABCC12	 4.8084	 4.6709	 4.5427	 4.7785	 4.6956	 4.8254	 4.7577	 4.9639	 4.5521	 4.7841	 4.6323	 4.7109	 4.6461	 4.6139	 4.7123	 4.4686	 5.2085	 4.8763	 4.7822	 4.8570	 4.5075	 4.8559	 4.6085	 4.9702	 4.6126	 4.6363	 4.5608	 4.7789	 4.6905	 4.6932	 4.6954	 4.8058	 4.6966	 4.6077	 4.8317	 4.7232
ABCC13	 4.3476	 4.5883	 4.5002	 4.8144	 4.4802	 4.5730	 4.2901	 4.5604	 4.4046	 4.4897	 4.5832	 4.2577	 4.1134	 4.0869	 4.8244	 4.8824	 4.7817	 4.4409	 4.2227	 4.6260	 4.3786	 4.5977	 4.5835	 4.1596	 4.4914	 4.7012	 4.7094	 4.4604	 4.4200	 4.3631	 4.4750	 4.5519	 4.6761	 4.4140	 4.3338	 4.4958
ABCC2	 5.3439	 5.3721	 5.4473	 5.2059	 6.6832	 6.4483	 6.1669	 5.3789	 5.1633	 5.1580	 5.4433	 5.4817	 5.3594	 5.3138	 5.8847	 5.7660	 5.5914	 5.4147	 5.3513	 5.6575	 5.3833	 5.1309	 5.8103	 5.8394	 6.1843	 5.2955	 5.5947	 5.5266	 5.3285	 5.2603	 5.7925	 5.8993	 5.5899	 5.3961	 5.2879	 5.4315
ABCC3	 7.8455	 7.7196	 7.5059	 7.1999	 6.7841	 6.7324	 6.7477	 8.4116	 8.5402	 7.7290	 7.7144	 7.7937	 7.6329	 7.7085	 7.3801	 7.5013	 7.2912	 7.5194	 7.5563	 7.6821	 7.4245	 7.5618	 7.5820	 7.5843	 7.4913	 7.6042	 7.5069	 7.5288	 7.6142	 7.6445	 7.5105	 7.5842	 7.4254	 7.5551	 7.5921	 7.6403
ABCC4	 5.5803	 5.2883	 5.2939	 5.1271	 5.8682	 5.7971	 5.7971	 6.1744	 6.1523	 6.1977	 6.0633	 6.0008	 5.6975	 6.3265	 5.4786	 5.5203	 5.4541	 5.7088	 5.7099	 5.9559	 6.0073	 5.7388	 5.4118	 5.7050	 5.8606	 5.5306	 5.8344	 5.8105	 5.6428	 5.6555	 5.7888	 5.7575	 5.8228	 5.7356	 5.7226	 5.6507
ABCC5	 7.7424	 7.6893	 7.5000	 7.2700	 7.7048	 7.6304	 7.7899	 8.6603	 8.7957	 8.0118	 7.8228	 7.7364	 7.8160	 7.6204	 8.0064	 7.8100	 7.6886	 7.4220	 7.1146	 6.9865	 7.2260	 7.0660	 8.3951	 8.4068	 8.4946	 8.3034	 8.3811	 7.4478	 7.4758	 7.3738	 8.1122	 7.9988	 8.2692	 7.5613	 7.4093	 7.3268
ABCC6	 5.7407	 5.7400	 5.7310	 5.8114	 6.4141	 6.5592	 6.6085	 5.9020	 6.0219	 5.8182	 5.7850	 5.8938	 5.9334	 5.9032	 6.0142	 5.8889	 6.2213	 5.9444	 6.0503	 5.7673	 5.8401	 5.7614	 6.0676	 6.2047	 6.0381	 6.1778	 5.9062	 6.0272	 5.6326	 5.8695	 6.1800	 6.0812	 6.0644	 5.8403	 5.7149	 5.9741
ABCC6P1	 3.6904	 3.6924	 3.8489	 3.9184	 4.0512	 4.1891	 3.9533	 3.7471	 3.5834	 3.7774	 3.8619	 3.6812	 3.8677	 3.7541	 3.8490	 3.7410	 4.1649	 3.5921	 3.9708	 4.3027	 3.9312	 3.7028	 3.7847	 3.7305	 3.8338	 4.0760	 3.5051	 3.9798	 3.8454	 3.6630	 4.2166	 3.5955	 3.7576	 3.9371	 3.7892	 3.7618
ABCC8	 5.5423	 5.8516	 5.6999	 5.6560	 6.0677	 6.0754	 6.0760	 6.3040	 6.2006	 6.0839	 6.1675	 5.9330	 5.7416	 6.1433	 5.7976	 5.8817	 6.0987	 5.7571	 5.7444	 5.9582	 5.6450	 5.6546	 5.9408	 6.0163	 6.0076	 6.3617	 6.2405	 5.7267	 5.6810	 5.9240	 6.1992	 6.1847	 5.8800	 5.7920	 5.7881	 5.7517
ABCC9	 4.3554	 4.4120	 4.4068	 4.3481	 4.3595	 4.3764	 4.3772	 4.4479	 4.3251	 4.6029	 4.6123	 4.5288	 4.4377	 4.3373	 4.4424	 4.3298	 4.4008	 4.4111	 4.4337	 4.2702	 4.3374	 4.3433	 4.5746	 4.5483	 4.5055	 4.2936	 4.4102	 4.3826	 4.4040	 4.3688	 4.4786	 4.4988	 4.3439	 4.3969	 4.3548	 4.4038
ABCD1	 6.8073	 6.9917	 6.7639	 6.6643	 7.7120	 7.7086	 7.5767	 6.8566	 6.8361	 6.6348	 6.8102	 7.0691	 7.1508	 6.8429	 7.1347	 6.7815	 7.0001	 6.5018	 6.8862	 7.0497	 6.9454	 6.6827	 7.1466	 7.0549	 7.1362	 7.2969	 7.2649	 6.8028	 6.8182	 6.9680	 7.4263	 6.7463	 7.2176	 6.6571	 6.9410	 6.9908
ABCD2	 3.1781	 3.2391	 3.7688	 3.5014	 3.2298	 3.2851	 3.2059	 3.2794	 3.3414	 3.4404	 3.2727	 3.1630	 3.5041	 3.4131	 3.2564	 3.2886	 3.4192	 3.1725	 3.2967	 3.3900	 3.1896	 3.2962	 3.3145	 3.1977	 3.8731	 3.6127	 3.0643	 3.5857	 3.1978	 3.2447	 3.1061	 3.7712	 3.1390	 3.4648	 3.2903	 3.2731
ABCD3	 8.7407	 8.1527	 7.8146	 7.5094	 9.0996	 8.7761	 8.9497	 7.8161	 8.1656	 8.8002	 8.8567	 8.4973	 8.2026	 8.5721	 8.5375	 8.4383	 8.3554	 8.8974	 8.7823	 8.6814	 8.8282	 8.8928	 8.0881	 8.1454	 7.9571	 7.7513	 8.3148	 8.4626	 8.4226	 8.5078	 8.1868	 8.8102	 8.2134	 8.4942	 8.4034	 8.4953
ABCD4	 6.9057	 6.8119	 6.8038	 6.8593	 6.6524	 6.9213	 6.7667	 6.7730	 6.8795	 6.7801	 6.8568	 6.8573	 6.9886	 6.5480	 6.6980	 6.7594	 6.9438	 6.5557	 6.4252	 6.6016	 6.5515	 6.8055	 6.9099	 6.9534	 7.0373	 7.1023	 7.0499	 6.8244	 6.6420	 6.7120	 6.8918	 6.8302	 6.8947	 6.8517	 6.6003	 6.7265
ABCE1	 9.4306	 9.4141	 9.2982	 9.2242	10.5982	10.3959	10.7091	 9.0332	 9.2428	 9.6154	 9.5452	 9.5921	 9.5571	 9.7286	 9.7673	 9.7054	 9.7598	10.0760	 9.7342	10.0988	10.2339	 9.9471	 9.4401	 9.4044	 9.4561	 8.9333	 9.5265	 9.6181	 9.7350	 9.7306	 9.6390	 9.8974	 9.4902	 9.7109	 9.7065	 9.6664
ABCF1	 9.8603	 9.7699	 9.5606	 9.4097	10.2343	10.1656	10.3233	 9.6429	 9.8095	 9.7095	 9.7549	 9.8046	 9.8327	 9.7139	 9.8004	 9.9566	 9.9174	 9.8334	10.0833	10.0427	10.0240	10.0087	 9.6473	 9.7039	 9.7208	 9.6357	 9.6762	 9.7266	 9.9133	 9.8461	 9.8225	 9.7638	 9.9534	 9.8910	 9.7648	 9.8301
ABCF2	 7.4612	 7.4066	 7.3525	 7.4716	 8.2138	 8.2923	 8.1602	 7.3867	 7.5791	 7.5386	 7.4996	 7.4964	 7.6179	 7.7582	 7.6247	 7.5872	 7.8348	 7.7316	 7.7271	 7.7747	 7.5498	 7.7835	 7.6073	 7.5651	 7.5730	 7.6009	 7.6192	 7.5977	 7.6607	 7.5244	 7.6700	 7.7008	 7.7658	 7.6023	 7.6435	 7.5370
ABCF3	 8.1784	 8.0579	 7.8415	 8.0295	 8.7098	 8.8290	 8.7921	 8.9615	 8.8784	 8.8008	 8.7276	 8.6330	 8.5090	 8.4370	 8.3596	 8.6278	 8.4310	 8.5342	 8.6754	 8.6378	 8.4624	 8.7533	 8.5017	 8.5171	 8.3117	 8.4059	 8.1962	 8.4324	 8.3572	 8.3978	 8.5071	 8.5197	 8.7832	 8.3699	 8.3586	 8.4588
ABCG1	 7.3670	 6.9704	 6.7869	 6.4723	 6.8590	 6.9272	 6.8542	 7.1827	 7.3277	 7.1544	 7.1144	 7.2572	 7.3072	 7.1946	 6.8737	 6.4339	 6.6453	 6.5355	 6.4574	 6.1558	 6.3601	 6.3819	 7.3573	 7.4967	 7.6583	 7.4691	 7.6477	 6.8146	 6.7306	 6.7663	 7.1847	 6.9779	 7.2377	 6.6873	 6.5016	 7.1227
ABCG2	 7.2695	 7.1303	 7.4721	 7.3487	 8.6708	 8.5760	 8.8517	 9.2067	 9.3114	 8.3938	 8.2226	 6.6289	 6.6110	 6.7378	 9.2743	 9.2063	 9.0419	 6.6166	 6.2661	 6.4579	 6.4311	 6.5511	 9.3895	 9.3839	 9.3761	 9.3093	 9.3854	 6.4563	 7.0078	 6.9162	 9.0726	 8.9439	 9.1033	 6.9044	 6.7360	 6.7399
ABCG4	 6.4591	 6.4206	 6.5069	 6.3980	 6.4934	 6.4407	 6.3768	 6.7392	 6.7963	 6.3962	 6.7549	 6.3516	 6.2820	 6.5465	 6.4294	 6.7795	 6.6125	 6.2618	 6.4530	 6.6188	 6.2411	 6.3464	 6.8367	 6.4208	 6.5392	 6.5857	 6.6991	 6.5994	 6.3712	 6.2509	 6.5611	 6.6267	 6.5924	 6.4404	 6.5767	 6.2044
ABCG5	 4.7010	 4.6891	 4.4753	 5.3302	 4.8413	 5.0593	 4.8528	 4.8197	 4.7224	 4.8340	 4.9113	 4.1702	 4.6274	 4.9717	 4.9470	 4.7751	 5.4071	 4.8331	 4.5259	 4.4413	 4.9769	 5.0325	 5.1026	 5.0842	 5.0070	 4.7270	 4.4337	 4.4689	 5.0540	 4.6708	 5.0223	 4.8526	 4.8300	 4.2633	 4.8078	 5.1226
ABCG8	 5.1400	 5.1270	 5.3647	 5.0968	 5.6583	 5.7081	 5.4583	 5.2508	 5.1573	 5.3396	 5.2595	 5.3417	 5.1452	 5.1518	 5.6874	 5.2462	 5.1935	 5.2611	 5.4957	 4.6047	 5.2837	 5.2268	 5.2644	 5.6309	 5.3511	 5.4901	 5.3345	 5.0523	 5.1377	 5.3698	 5.1217	 5.3466	 5.7376	 5.1259	 5.1369	 5.2970
ABHD1	 5.5388	 5.5333	 5.6794	 5.8779	 5.7461	 5.7492	 5.7249	 5.8587	 5.6901	 5.6911	 5.7685	 5.6292	 5.6250	 5.3661	 5.7770	 5.7924	 6.0114	 5.8185	 5.7818	 5.5377	 5.4284	 5.9634	 5.6474	 5.6545	 5.7498	 5.6946	 5.7259	 5.6476	 5.6290	 5.6682	 5.8757	 5.6839	 5.6967	 5.7258	 5.8911	 5.3279
ABHD10	 8.2379	 8.2640	 8.4027	 8.2983	 9.0151	 8.8961	 8.8781	 8.0449	 8.1535	 8.2071	 8.2953	 8.3295	 8.2676	 8.2859	 8.7009	 8.4217	 8.4157	 8.2574	 8.5101	 8.2389	 8.2932	 8.4416	 8.4093	 8.5059	 8.4539	 8.4426	 8.4827	 8.3140	 8.3156	 8.3272	 8.6647	 8.4451	 8.3548	 8.2548	 8.3971	 8.3049
ABHD11	 9.2346	 9.1683	 9.1338	 8.9675	 7.5132	 7.4571	 7.4144	 7.6239	 7.6897	 8.0343	 7.7528	 8.2396	 8.1559	 8.1249	 8.3597	 8.3554	 8.2569	 8.2298	 8.1935	 8.1426	 8.0880	 8.2912	 8.4292	 8.3154	 8.2564	 8.2743	 8.2667	 8.4569	 8.4831	 8.5525	 8.1309	 8.0214	 7.8476	 8.5278	 8.5226	 8.4420
ABHD12	 8.3869	 8.3691	 8.3109	 8.0331	 8.3493	 8.3651	 8.3225	 9.0762	 9.1848	 8.5333	 8.5137	 8.6725	 8.7196	 8.7977	 8.0782	 8.1450	 8.4321	 8.1996	 8.3401	 8.3270	 8.2343	 8.3823	 8.5670	 8.6726	 8.6376	 8.7087	 8.6723	 8.4261	 8.3882	 8.3789	 8.7715	 8.5983	 8.2819	 8.4429	 8.4222	 8.3281
ABHD5	 5.9420	 5.8780	 5.5137	 5.5787	 6.3402	 6.1756	 6.4032	 5.9359	 6.0525	 6.2100	 6.1906	 6.0145	 5.8129	 6.1485	 6.0983	 5.9379	 5.9621	 6.1073	 6.0639	 5.7555	 6.0009	 6.0630	 6.0041	 6.0170	 5.8028	 6.0630	 6.0797	 5.8825	 5.9439	 5.8934	 6.0741	 6.1785	 6.0020	 6.0154	 5.8863	 5.8181
ABHD6	 5.3755	 5.4351	 5.1841	 5.3283	 5.9848	 6.1698	 6.0814	 5.6667	 5.6792	 5.5018	 5.4482	 5.4711	 5.5485	 5.5572	 5.5456	 5.6313	 5.6373	 5.0242	 5.3430	 5.3056	 5.3246	 5.3325	 5.7741	 5.8076	 5.9758	 5.8699	 5.8947	 5.3811	 5.3852	 5.2912	 5.9258	 5.8054	 5.6024	 5.3947	 5.4283	 5.2344
ABHD8	 5.7577	 5.7073	 5.5913	 5.4384	 5.6118	 5.7709	 5.8494	 5.8538	 6.0849	 5.9995	 6.0017	 5.7545	 5.7258	 5.7566	 5.8100	 5.7237	 5.8439	 5.6234	 5.7946	 5.6710	 5.8732	 5.7082	 5.8868	 5.8630	 6.0174	 5.6993	 5.5538	 5.8162	 5.6628	 5.6216	 5.5551	 6.1699	 5.7890	 5.6692	 5.8494	 5.5819
ABI1	 7.4521	 7.2296	 7.4400	 7.1909	 6.8423	 6.8474	 6.8654	 6.9117	 7.0507	 7.0056	 6.9322	 6.9775	 7.0359	 7.1035	 7.1244	 7.1993	 7.0698	 7.0765	 6.9161	 7.0415	 7.1598	 7.0676	 7.1524	 7.0430	 7.1449	 6.9798	 7.2688	 7.1425	 7.1942	 7.0861	 7.0306	 7.0883	 6.9687	 7.0366	 7.1997	 7.1864
